Player,Season,Team,Game Score,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Starter,Number,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Draft Round,Draft Pick in Round,Draft Overall Pick,Total Losses,Total Wins,Wfirst5,Lfirst5,Wfirst10,Lfirst10,Wfirst15,Lfirst15,Avg_Total_Passes
Enes Freedom,2014-15,OKC,15.74,18.65,1.12,11.04,0.5,0.5,2.0,2.88,31.13,7.54,13.31,0.55,0.12,0.15,0.12,3.46,4.46,0.77,5.0,6.04,1.85,100.0,34,C,6-10,250,"May 20, 1992",ch,3,Kentucky,https://www.basketball-reference.com/players/k/kanteen01/gamelog/2015,1.0,3.0,3.0,11.0,15.0,4,1,7,3,11,4,2.99
Enes Freedom,2014-15,UTA,9.44,13.84,0.53,7.84,0.47,0.33,1.9,2.33,27.07,5.84,11.88,0.49,0.27,0.84,0.14,1.9,2.41,0.56,3.0,4.84,-1.73,97.96,34,C,6-10,250,"May 20, 1992",ch,3,Kentucky,https://www.basketball-reference.com/players/k/kanteen01/gamelog/2015,1.0,3.0,3.0,32.0,17.0,2,3,4,6,5,10,2.55
Enes Freedom,2018-19,NYK,12.53,13.95,1.91,10.48,0.41,0.39,1.8,2.41,25.63,5.7,10.64,0.53,0.16,0.5,0.12,2.39,2.93,0.59,3.89,6.59,-4.93,52.27,00,C,6-10,250,"May 20, 1992",ch,7,Kentucky,https://www.basketball-reference.com/players/k/kanteen01/gamelog/2019,1.0,3.0,3.0,34.0,10.0,1,4,3,7,4,11,2.14
Enes Freedom,2018-19,POR,11.57,13.09,1.39,8.61,0.61,0.39,1.7,2.65,22.25,5.39,9.35,0.56,0.13,0.52,0.07,2.17,2.96,0.64,3.74,4.87,1.22,34.78,00,C,6-10,250,"May 20, 1992",ch,7,Kentucky,https://www.basketball-reference.com/players/k/kanteen01/gamelog/2019,1.0,3.0,3.0,5.0,18.0,5,0,8,2,12,3,2.55
Eric Bledsoe,2017-18,MIL,14.2,17.83,5.08,3.9,2.04,0.56,2.9,2.52,31.53,6.37,13.37,0.5,1.7,4.89,0.35,3.39,4.27,0.73,0.68,3.23,2.76,100.0,6,PG,6-1,214,"December 9, 1989",us,7,Kentucky,https://www.basketball-reference.com/players/b/bledser01/gamelog/2018,1.0,18.0,18.0,31.0,40.0,4,1,7,3,11,4,2.71
Eric Bledsoe,2017-18,PHO,8.93,15.67,3.0,2.33,1.33,0.67,3.33,2.0,27.58,5.33,13.33,0.36,1.33,4.33,0.26,3.67,4.67,0.88,1.0,1.33,-24.0,100.0,6,PG,6-1,214,"December 9, 1989",us,7,Kentucky,https://www.basketball-reference.com/players/b/bledser01/gamelog/2018,1.0,18.0,18.0,3.0,0.0,0,3,0,3,0,3,0.0
Eric Gordon,2022-23,HOU,9.03,13.09,2.89,2.06,0.64,0.36,1.77,0.96,30.18,4.47,10.17,0.42,1.81,5.21,0.32,2.34,2.87,0.63,0.26,1.81,-4.43,100.0,10,SG,6-3,215,"December 25, 1988",us,14,Indiana,https://www.basketball-reference.com/players/g/gordoer01/gamelog/2023,1.0,7.0,7.0,35.0,12.0,1,4,2,8,3,12,1.95
Eric Gordon,2022-23,LAC,8.11,10.95,2.14,1.68,0.59,0.36,0.95,1.5,24.86,3.68,7.95,0.45,2.14,5.05,0.41,1.45,1.73,0.52,0.18,1.5,-0.41,50.0,10,SG,6-3,215,"December 25, 1988",us,14,Indiana,https://www.basketball-reference.com/players/g/gordoer01/gamelog/2023,1.0,7.0,7.0,9.0,13.0,2,3,5,5,8,7,1.96
Eric Maynor,2012-13,OKC,1.79,2.81,1.97,0.49,0.27,0.0,0.84,0.51,10.57,0.97,3.11,0.24,0.41,1.24,0.19,0.46,0.57,0.14,0.14,0.35,0.46,0.0,6,PG,6-3,175,"June 11, 1987",us,3,VCU,https://www.basketball-reference.com/players/m/maynoer01/gamelog/2013,1.0,20.0,20.0,5.0,32.0,3,2,7,3,11,4,0.0
Eric Maynor,2012-13,POR,4.82,6.93,4.04,1.04,0.44,0.04,1.78,1.33,21.18,2.59,6.15,0.38,0.7,1.85,0.36,1.04,1.52,0.28,0.15,0.89,-3.26,0.0,6,PG,6-3,175,"June 11, 1987",us,3,VCU,https://www.basketball-reference.com/players/m/maynoer01/gamelog/2013,1.0,20.0,20.0,19.0,8.0,3,2,6,4,8,7,0.0
Eric Maynor,2013-14,PHI,2.25,3.75,1.5,1.88,0.5,0.25,1.5,0.5,14.02,1.38,3.62,0.26,0.5,1.5,0.27,0.5,1.0,0.22,0.25,1.62,-6.5,0.0,6,PG,6-3,175,"June 11, 1987",us,4,VCU,https://www.basketball-reference.com/players/m/maynoer01/gamelog/2014,1.0,20.0,20.0,8.0,0.0,0,5,0,8,0,8,2.37
Eric Maynor,2013-14,WAS,1.35,2.26,1.74,1.04,0.22,0.04,0.74,0.57,9.33,0.91,3.13,0.25,0.35,1.09,0.27,0.09,0.13,0.07,0.3,0.74,-5.04,0.0,6,PG,6-3,175,"June 11, 1987",us,4,VCU,https://www.basketball-reference.com/players/m/maynoer01/gamelog/2014,1.0,20.0,20.0,12.0,11.0,2,3,4,6,7,8,1.5
Eric Moreland,2018-19,PHO,0.5,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,15,PF,6-10,238,"December 24, 1991",us,3,Oregon State,https://www.basketball-reference.com/players/m/moreler01/gamelog/2019,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,1,0.0
Eric Moreland,2018-19,TOR,1.58,1.75,1.0,4.25,0.25,0.25,1.25,2.0,9.57,0.75,1.75,0.46,0.25,0.25,0.25,0.0,0.0,0.0,1.0,3.25,-5.0,0.0,15,PF,6-10,238,"December 24, 1991",us,3,Oregon State,https://www.basketball-reference.com/players/m/moreler01/gamelog/2019,0.0,0.0,0.0,1.0,3.0,3,1,3,1,3,1,1.35
Erick Green,2015-16,DEN,0.1,0.0,0.33,0.33,0.0,0.0,0.0,0.0,2.49,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,11,PG,6-4,185,"May 9, 1991",us,1,Virginia Tech,https://www.basketball-reference.com/players/g/greener01/gamelog/2016,2.0,16.0,46.0,2.0,1.0,1,2,1,2,1,2,0.83
Erick Green,2015-16,UTA,1.68,2.17,0.33,0.83,0.17,0.0,0.0,0.67,5.78,0.83,2.0,0.32,0.17,0.67,0.17,0.33,0.33,0.17,0.5,0.33,-0.33,0.0,11,PG,6-4,185,"May 9, 1991",us,1,Virginia Tech,https://www.basketball-reference.com/players/g/greener01/gamelog/2016,2.0,16.0,46.0,1.0,5.0,5,0,5,1,5,1,1.07
Ersan İlyasova,2015-16,DET,8.08,11.33,1.06,5.42,0.73,0.52,1.13,2.31,27.57,4.15,9.77,0.41,1.5,4.13,0.35,1.52,2.1,0.43,1.9,3.52,-0.6,100.0,23,PF,6-9,235,"May 15, 1987",tr,7,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016,2.0,6.0,36.0,25.0,27.0,4,1,5,5,8,7,2.73
Ersan İlyasova,2015-16,ORL,6.35,8.09,0.55,5.5,0.64,0.27,0.55,2.32,20.31,2.91,6.95,0.43,0.82,2.0,0.36,1.45,2.05,0.35,2.05,3.45,-5.05,18.18,23,PF,6-9,235,"May 15, 1987",tr,7,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016,2.0,6.0,36.0,14.0,8.0,2,3,4,6,6,9,1.5
Ersan İlyasova,2016-17,ATL,7.71,10.38,1.65,5.81,0.85,0.31,1.31,2.81,24.35,3.58,8.69,0.43,1.23,3.54,0.35,2.0,2.5,0.7,1.62,4.19,1.69,46.15,7,PF,6-9,235,"May 15, 1987",tr,8,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2017,2.0,6.0,36.0,15.0,11.0,2,3,5,5,5,10,2.05
Ersan İlyasova,2016-17,OKC,3.4,5.0,0.33,5.33,1.0,0.33,1.33,1.67,20.66,2.0,5.33,0.41,1.0,4.0,0.3,0.0,0.0,0.0,0.67,4.67,4.67,0.0,7,PF,6-9,235,"May 15, 1987",tr,8,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2017,2.0,6.0,36.0,0.0,3.0,3,0,3,0,3,0,3.83
Ersan İlyasova,2016-17,PHI,10.1,14.83,1.83,5.92,0.62,0.26,1.47,2.51,27.3,5.38,12.23,0.44,2.02,5.62,0.36,2.06,2.68,0.63,1.34,4.58,-1.64,75.47,7,PF,6-9,235,"May 15, 1987",tr,8,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2017,2.0,6.0,36.0,32.0,21.0,1,4,3,7,4,11,2.91
Ersan İlyasova,2017-18,ATL,8.77,10.89,1.11,5.46,0.96,0.37,0.93,2.0,25.55,4.0,8.72,0.44,1.33,3.7,0.32,1.57,1.96,0.48,1.61,3.85,-1.65,86.96,7,PF,6-9,235,"May 15, 1987",tr,9,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2018,2.0,6.0,36.0,30.0,16.0,2,3,3,7,5,10,2.25
Ersan İlyasova,2017-18,PHI,8.37,10.83,1.7,6.7,0.74,0.39,1.26,2.83,24.1,4.04,9.22,0.44,1.3,3.61,0.36,1.43,1.96,0.51,1.91,4.78,4.17,13.04,7,PF,6-9,235,"May 15, 1987",tr,9,None,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2018,2.0,6.0,36.0,3.0,20.0,3,2,7,3,12,3,2.51
Eugene Omoruyi,2022-23,DET,6.29,9.71,1.0,3.47,0.82,0.18,1.06,2.65,21.94,3.35,7.88,0.39,1.0,3.41,0.3,2.0,2.76,0.53,1.24,2.24,-2.0,23.53,97,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",https://www.basketball-reference.com/players/o/omorueu01/gamelog/2023,0.0,0.0,0.0,16.0,1.0,0,5,1,9,1,14,1.68
Eugene Omoruyi,2022-23,OKC,3.13,4.91,0.48,2.26,0.61,0.0,0.7,2.0,11.84,1.91,4.09,0.39,0.35,1.35,0.09,0.74,1.22,0.27,0.96,1.3,-0.48,8.7,97,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",https://www.basketball-reference.com/players/o/omorueu01/gamelog/2023,0.0,0.0,0.0,14.0,9.0,1,4,2,8,5,10,0.57
Evan Fournier,2020-21,BOS,10.04,13.0,3.06,3.31,1.25,0.62,1.19,2.56,29.53,4.81,10.75,0.41,2.75,5.94,0.39,0.62,0.88,0.29,0.31,3.0,2.75,62.5,10,SF,6-6,205,"October 29, 1992",fr,8,None,https://www.basketball-reference.com/players/f/fournev01/gamelog/2021,1.0,20.0,20.0,10.0,6.0,2,3,4,6,5,10,1.68
Evan Fournier,2020-21,ORL,13.81,19.65,3.65,2.88,1.04,0.35,2.08,2.12,30.25,6.54,14.19,0.46,2.81,7.23,0.37,3.77,4.73,0.78,0.19,2.69,-3.04,100.0,10,SF,6-6,205,"October 29, 1992",fr,8,None,https://www.basketball-reference.com/players/f/fournev01/gamelog/2021,1.0,20.0,20.0,14.0,12.0,4,1,6,4,8,7,1.79
Evan Fournier,2023-24,DET,4.71,7.17,1.55,1.86,0.86,0.24,0.69,1.52,18.66,2.59,6.93,0.33,1.07,3.97,0.22,0.93,1.17,0.36,0.17,1.69,-4.45,0.0,31,SG,6-6,205,"October 29, 1992",fr,11,None,https://www.basketball-reference.com/players/f/fournev01/gamelog/2024,1.0,20.0,20.0,23.0,6.0,0,5,2,8,4,11,0.96
Evan Fournier,2023-24,NYK,1.43,4.0,1.0,1.33,1.33,0.0,0.33,1.33,12.88,1.33,6.67,0.16,0.67,5.0,0.08,0.67,0.67,0.33,0.0,1.33,-3.67,0.0,31,SG,6-6,205,"October 29, 1992",fr,11,None,https://www.basketball-reference.com/players/f/fournev01/gamelog/2024,1.0,20.0,20.0,1.0,2.0,2,1,2,1,2,1,0.97
Evan Turner,2013-14,IND,4.47,7.11,2.37,3.19,0.41,0.07,1.26,1.78,21.16,2.89,7.04,0.36,0.44,0.89,0.27,0.89,1.26,0.32,0.44,2.74,-1.96,7.41,12,SF,6-6,220,"October 27, 1988",us,3,Ohio State,https://www.basketball-reference.com/players/t/turneev01/gamelog/2014,1.0,2.0,2.0,13.0,14.0,4,1,6,4,9,6,1.77
Evan Turner,2013-14,PHI,10.83,17.39,3.67,5.96,1.04,0.09,2.87,2.72,34.92,6.59,15.39,0.41,0.7,2.44,0.23,3.5,4.22,0.71,0.93,5.04,-5.98,100.0,12,SF,6-6,220,"October 27, 1988",us,3,Ohio State,https://www.basketball-reference.com/players/t/turneev01/gamelog/2014,1.0,2.0,2.0,39.0,15.0,3,2,5,5,6,9,2.79
Francisco García,2012-13,HOU,4.66,6.39,1.11,1.28,0.78,0.39,0.67,1.22,17.73,2.28,5.28,0.37,1.5,3.89,0.27,0.33,0.39,0.15,0.06,1.22,2.33,27.78,32,SG,6-7,195,"December 31, 1981",do,7,Louisville,https://www.basketball-reference.com/players/g/garcifr01/gamelog/2013,1.0,23.0,23.0,7.0,11.0,3,2,7,3,10,5,0.0
Francisco García,2012-13,SAC,3.83,5.15,1.08,1.7,0.8,0.78,0.5,1.65,17.76,1.92,5.12,0.37,1.0,2.72,0.27,0.3,0.35,0.15,0.18,1.52,-2.38,37.5,32,SG,6-7,195,"December 31, 1981",do,7,Louisville,https://www.basketball-reference.com/players/g/garcifr01/gamelog/2013,1.0,23.0,23.0,27.0,13.0,0,5,2,8,3,12,0.0
Frank Kaminsky,2022-23,ATL,2.48,2.73,0.81,1.38,0.19,0.04,0.35,0.81,6.77,0.96,1.69,0.29,0.42,0.88,0.14,0.38,0.46,0.13,0.12,1.27,0.04,0.0,0,C,7-0,240,"April 4, 1993",us,7,Wisconsin,https://www.basketball-reference.com/players/k/kaminfr01/gamelog/2023,1.0,9.0,9.0,15.0,11.0,3,2,4,6,6,9,0.85
Frank Kaminsky,2022-23,HOU,2.39,1.8,1.1,1.6,0.1,0.3,0.0,0.1,5.88,0.6,1.9,0.22,0.2,1.0,0.08,0.4,0.4,0.2,0.4,1.2,-0.5,0.0,0,C,7-0,240,"April 4, 1993",us,7,Wisconsin,https://www.basketball-reference.com/players/k/kaminfr01/gamelog/2023,1.0,9.0,9.0,8.0,2.0,0,5,2,8,2,8,1.08
Garrett Temple,2018-19,LAC,3.73,4.73,1.42,2.46,1.0,0.19,0.62,2.69,19.63,1.62,4.08,0.37,0.62,2.08,0.16,0.88,1.19,0.34,0.38,2.08,0.54,23.08,17,SG,6-5,195,"May 8, 1986",us,8,LSU,https://www.basketball-reference.com/players/t/templga01/gamelog/2019,0.0,0.0,0.0,8.0,18.0,3,2,7,3,11,4,1.21
Garrett Temple,2018-19,MEM,6.37,9.45,1.41,3.1,1.02,0.51,1.1,2.73,31.23,3.39,7.9,0.43,1.51,4.29,0.33,1.16,1.55,0.38,0.37,2.73,-2.0,100.0,17,SG,6-5,195,"May 8, 1986",us,8,LSU,https://www.basketball-reference.com/players/t/templga01/gamelog/2019,0.0,0.0,0.0,30.0,19.0,3,2,6,4,10,5,2.19
Garrison Mathews,2022-23,ATL,3.36,4.78,0.33,1.22,0.11,0.11,0.11,0.67,9.36,1.44,3.44,0.31,1.11,2.78,0.3,0.78,0.89,0.19,0.11,1.11,-0.44,0.0,25,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,https://www.basketball-reference.com/players/m/mathega01/gamelog/2023,0.0,0.0,0.0,5.0,4.0,2,3,4,5,4,5,0.59
Garrison Mathews,2022-23,HOU,3.14,4.76,0.51,1.38,0.51,0.09,0.4,1.24,13.38,1.33,3.78,0.32,1.18,3.44,0.32,0.91,1.0,0.31,0.22,1.16,-1.84,0.0,25,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,https://www.basketball-reference.com/players/m/mathega01/gamelog/2023,0.0,0.0,0.0,33.0,12.0,1,4,1,9,3,12,0.71
Gary Clark,2019-20,HOU,3.27,3.89,0.67,2.22,0.11,0.39,0.11,1.17,11.76,1.28,3.28,0.39,1.0,2.83,0.36,0.33,0.39,0.15,0.61,1.61,0.67,0.0,12,SF,6-6,225,"November 16, 1994",us,1,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01/gamelog/2020,0.0,0.0,0.0,6.0,12.0,4,1,7,3,11,4,0.93
Gary Clark,2019-20,ORL,3.25,3.58,0.21,2.92,0.17,0.62,0.33,1.04,14.78,1.29,3.08,0.34,0.88,2.5,0.28,0.12,0.12,0.08,1.08,1.83,-2.88,20.83,12,SF,6-6,225,"November 16, 1994",us,1,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01/gamelog/2020,0.0,0.0,0.0,13.0,11.0,2,3,3,7,6,9,1.31
Gary Clark,2020-21,DEN,0.15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-3.5,0.0,6,SF,6-6,225,"November 16, 1994",us,2,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01/gamelog/2021,0.0,0.0,0.0,0.0,2.0,2,0,2,0,2,0,1.0
Gary Clark,2020-21,ORL,2.76,3.4,0.86,3.2,0.34,0.2,0.49,0.97,18.19,1.14,3.74,0.24,0.89,3.09,0.22,0.23,0.29,0.13,0.94,2.26,-2.94,31.43,6,SF,6-6,225,"November 16, 1994",us,2,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01/gamelog/2021,0.0,0.0,0.0,27.0,8.0,3,2,3,7,5,10,1.28
Gary Clark,2020-21,PHI,0.6,0.0,0.5,1.0,0.5,0.0,0.0,0.5,6.39,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,SF,6-6,225,"November 16, 1994",us,2,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01/gamelog/2021,0.0,0.0,0.0,0.0,2.0,2,0,2,0,2,0,1.12
Gary Harris,2020-21,DEN,6.94,9.68,1.68,2.47,0.89,0.21,0.74,1.95,30.6,3.63,8.21,0.4,1.26,3.95,0.26,1.16,1.58,0.47,0.68,1.79,5.16,100.0,14,SG,6-4,210,"September 14, 1994",us,6,Michigan State,https://www.basketball-reference.com/players/h/harriga01/gamelog/2021,1.0,19.0,19.0,8.0,11.0,1,4,5,5,9,6,1.71
Gary Harris,2020-21,ORL,6.06,10.2,2.3,1.6,0.55,0.35,1.15,1.7,24.94,3.45,9.45,0.37,1.2,3.3,0.37,2.1,2.4,0.63,0.4,1.2,-9.15,95.0,14,SG,6-4,210,"September 14, 1994",us,6,Michigan State,https://www.basketball-reference.com/players/h/harriga01/gamelog/2021,1.0,19.0,19.0,16.0,4.0,1,4,2,8,4,11,1.3
Gary Neal,2013-14,CHA,6.98,11.23,1.68,1.82,0.5,0.0,1.14,1.77,23.03,3.86,8.82,0.44,1.27,3.14,0.41,2.23,2.32,0.66,0.09,1.73,-0.14,4.55,12,SG,6-4,210,"October 3, 1984",us,3,"La Salle, Towson University",https://www.basketball-reference.com/players/n/nealga01/gamelog/2014,0.0,0.0,0.0,8.0,14.0,2,3,5,5,8,7,2.33
Gary Neal,2013-14,MIL,5.16,10.03,1.53,1.67,0.23,0.0,1.3,0.87,20.23,3.6,9.23,0.38,1.33,3.7,0.36,1.5,1.8,0.56,0.27,1.4,-5.63,6.67,12,SG,6-4,210,"October 3, 1984",us,3,"La Salle, Towson University",https://www.basketball-reference.com/players/n/nealga01/gamelog/2014,0.0,0.0,0.0,25.0,5.0,2,3,2,8,3,12,1.58
Gary Neal,2014-15,CHO,4.87,9.6,1.86,2.19,0.37,0.02,1.28,1.63,21.65,3.33,9.26,0.34,0.91,3.09,0.27,2.05,2.37,0.57,0.33,1.86,-1.79,0.0,12,SG,6-4,210,"October 3, 1984",us,4,"La Salle, Towson University",https://www.basketball-reference.com/players/n/nealga01/gamelog/2015,0.0,0.0,0.0,22.0,21.0,2,3,4,6,6,9,0.0
Gary Neal,2014-15,MIN,7.93,11.82,1.82,3.18,0.64,0.0,0.91,1.64,23.78,4.09,9.55,0.44,1.0,2.82,0.35,2.64,3.0,0.6,0.0,3.18,-2.27,9.09,12,SG,6-4,210,"October 3, 1984",us,4,"La Salle, Towson University",https://www.basketball-reference.com/players/n/nealga01/gamelog/2015,0.0,0.0,0.0,8.0,3.0,2,3,3,7,3,8,1.76
Gary Payton II,2017-18,LAL,2.85,3.55,1.09,2.45,0.36,0.18,0.36,1.18,10.47,1.55,3.73,0.2,0.36,1.18,0.08,0.09,0.55,0.02,0.82,1.64,0.0,0.0,0,PG,6-2,190,"December 1, 1992",us,1,Oregon State,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2018,0.0,0.0,0.0,7.0,4.0,2,3,3,7,4,7,0.95
Gary Payton II,2017-18,MIL,1.55,2.5,0.75,1.42,0.25,0.08,0.25,1.42,8.81,1.08,2.75,0.27,0.17,1.0,0.12,0.17,0.25,0.08,0.33,1.08,1.0,50.0,0,PG,6-2,190,"December 1, 1992",us,1,Oregon State,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2018,0.0,0.0,0.0,6.0,6.0,2,3,6,4,6,6,0.71
Gary Payton II,2022-23,GSW,6.6,5.71,1.14,4.29,0.86,0.57,0.57,2.0,16.05,2.43,4.0,0.52,0.57,1.29,0.24,0.29,0.43,0.14,2.0,2.29,2.14,0.0,8,SG,6-2,190,"December 1, 1992",us,6,Oregon State,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2023,0.0,0.0,0.0,2.0,5.0,3,2,5,2,5,2,1.52
Gary Payton II,2022-23,POR,4.41,4.07,1.47,2.6,1.07,0.07,0.8,1.93,17.02,1.6,2.73,0.58,0.6,1.13,0.4,0.27,0.27,0.13,0.67,1.93,1.6,6.67,8,SG,6-2,190,"December 1, 1992",us,6,Oregon State,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2023,0.0,0.0,0.0,7.0,8.0,3,2,5,5,8,7,1.91
Gary Trent Jr.,2020-21,POR,9.45,14.95,1.41,2.22,0.9,0.15,0.76,1.54,30.78,5.29,12.78,0.4,2.95,7.44,0.38,1.41,1.83,0.44,0.51,1.71,-0.15,56.1,33,SG,6-5,209,"January 18, 1999",us,2,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2021,2.0,7.0,37.0,17.0,24.0,2,3,6,4,8,7,1.37
Gary Trent Jr.,2020-21,TOR,9.73,16.18,1.29,3.59,1.12,0.24,0.71,1.71,31.76,6.06,15.35,0.37,2.59,7.29,0.31,1.47,1.82,0.52,0.35,3.24,-3.12,88.24,33,SG,6-5,209,"January 18, 1999",us,2,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2021,2.0,7.0,37.0,12.0,5.0,1,4,3,7,5,10,1.29
George Hill,2017-18,CLE,7.6,9.42,2.79,2.67,0.92,0.62,1.17,2.21,27.88,3.46,7.79,0.43,1.12,3.21,0.31,1.38,1.71,0.42,0.83,1.83,5.25,100.0,3,PG,6-4,188,"May 4, 1986",us,9,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2018,1.0,26.0,26.0,9.0,15.0,3,2,6,4,8,7,2.67
George Hill,2017-18,SAC,8.13,10.26,2.77,2.72,0.91,0.28,1.4,1.74,26.58,3.56,7.58,0.43,1.35,2.98,0.35,1.79,2.3,0.54,0.51,2.21,-5.74,83.72,3,PG,6-4,188,"May 4, 1986",us,9,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2018,1.0,26.0,26.0,30.0,13.0,1,4,3,7,4,11,3.03
George Hill,2018-19,CLE,7.9,10.77,2.77,2.08,0.92,0.08,1.54,2.69,26.48,4.23,8.23,0.48,1.0,2.15,0.44,1.31,1.54,0.52,0.92,1.15,-3.46,100.0,3,PG,6-4,188,"May 4, 1986",us,10,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2019,1.0,26.0,26.0,11.0,2.0,0,5,1,9,2,11,2.89
George Hill,2018-19,MIL,5.84,6.77,2.11,2.57,0.85,0.15,0.66,1.43,20.39,2.45,5.72,0.38,0.74,2.66,0.23,1.13,1.38,0.42,0.57,2.0,4.09,0.0,3,PG,6-4,188,"May 4, 1986",us,10,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2019,1.0,26.0,26.0,10.0,37.0,4,1,8,2,12,3,1.38
George Hill,2020-21,OKC,10.17,11.79,3.07,2.07,0.86,0.14,0.86,0.86,26.33,4.36,8.57,0.49,1.57,4.07,0.34,1.5,1.79,0.56,0.57,1.5,-1.14,100.0,3,PG,6-4,188,"May 4, 1986",us,12,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2021,1.0,26.0,26.0,8.0,6.0,2,3,5,5,6,8,2.97
George Hill,2020-21,PHI,4.6,6.0,1.88,2.0,0.69,0.19,1.19,1.19,18.94,2.12,4.81,0.45,0.56,1.44,0.2,1.19,1.56,0.45,0.5,1.5,0.5,18.75,3,PG,6-4,188,"May 4, 1986",us,12,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2021,1.0,26.0,26.0,6.0,10.0,1,4,6,4,9,6,2.09
George Hill,2022-23,IND,5.25,5.18,1.91,1.64,0.64,0.27,0.64,1.27,15.12,1.73,3.09,0.33,1.0,1.91,0.28,0.73,0.82,0.33,0.18,1.45,2.09,9.09,3,PG,6-4,188,"May 4, 1986",us,14,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2023,1.0,26.0,26.0,8.0,3.0,2,3,2,8,3,8,1.59
George Hill,2022-23,MIL,4.76,5.0,2.54,1.91,0.54,0.09,0.77,1.17,19.09,1.69,3.77,0.42,0.66,2.11,0.27,0.97,1.31,0.35,0.37,1.54,0.51,0.0,3,PG,6-4,188,"May 4, 1986",us,14,IUPUI,https://www.basketball-reference.com/players/h/hillge01/gamelog/2023,1.0,26.0,26.0,11.0,24.0,5,0,9,1,11,4,1.69
Georgios Kalaitzakis,2021-22,MIL,0.76,1.78,0.0,0.89,0.11,0.11,0.44,0.89,5.31,0.56,1.22,0.29,0.22,0.44,0.17,0.44,1.0,0.25,0.44,0.44,-5.44,0.0,18,SF,6-8,192,"January 2, 1999",gr,R,None,https://www.basketball-reference.com/players/k/kalaige01/gamelog/2022,2.0,30.0,60.0,2.0,7.0,3,2,7,2,7,2,0.28
Georgios Kalaitzakis,2021-22,OKC,10.05,17.5,3.0,3.25,2.5,0.25,4.0,2.75,41.42,6.5,14.0,0.46,2.0,5.5,0.39,2.5,5.25,0.49,0.5,2.75,-21.25,100.0,18,SF,6-8,192,"January 2, 1999",gr,R,None,https://www.basketball-reference.com/players/k/kalaige01/gamelog/2022,2.0,30.0,60.0,3.0,1.0,1,3,1,3,1,3,4.97
Georgios Papagiannis,2017-18,POR,4.4,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,13.0,C,7-1,240,"July 3, 1997",gr,1,None,https://www.basketball-reference.com/players/p/papagge01/gamelog/2018,1.0,13.0,13.0,1.0,0.0,0,1,0,1,0,1,1.0
